NMFS_DNA_ID_use,SAMPLE_ID,GENUS,SPECIES,LENGTH,WEIGHT,REPORTED_LIFE_STAGE,COLLECTION_DATE,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,inversion_call,Water_Name,Site,Treatment,Treatment.Temp,Start.Temp_C,LOE.Temp_C
M145566,BC-78,Oncorhynchus,mykiss,108,13.6,Juvenile,8/29/24,M145566,California,Monterey,Big Creek,AR,Big Creek,Big Sur,2,20,20.2,31.4
M145567,BC-79,Oncorhynchus,mykiss,83,7.7,Juvenile,8/29/24,M145567,California,Monterey,Big Creek,AA,Big Creek,Big Sur,2,20,20.2,31.4
M145568,BC-80,Oncorhynchus,mykiss,159,38.7,Juvenile,8/30/24,M145568,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,24.6,30.8
M145569,BC-81,Oncorhynchus,mykiss,184,66.6,Juvenile,8/30/24,M145569,California,Monterey,Big Creek,RR,Big Creek,Big Sur,4,25,24.6,31.2
M145570,BC-82,Oncorhynchus,mykiss,112,14.9,Juvenile,8/30/24,M145570,California,Monterey,Big Creek,AR,Big Creek,Big Sur,4,25,24.6,31.2
M145571,BC-83,Oncorhynchus,mykiss,102,11.6,Juvenile,8/30/24,M145571,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,24.6,31.2
M145572,BC-84,Oncorhynchus,mykiss,121,18.3,Juvenile,8/30/24,M145572,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,24.6,31.5
M145573,BC-85,Oncorhynchus,mykiss,75,4.5,Juvenile,8/30/24,M145573,California,Monterey,Big Creek,RR,Big Creek,Big Sur,4,25,24.6,31.7
M145574,BC-86,Oncorhynchus,mykiss,113,14.7,Juvenile,8/30/24,M145574,California,Monterey,Big Creek,AR,Big Creek,Big Sur,4,25,24.6,31.7
M145575,BC-87,Oncorhynchus,mykiss,99,11,Juvenile,8/30/24,M145575,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,24.6,31.7
M145576,BC-88,Oncorhynchus,mykiss,75,5.6,Juvenile,8/30/24,M145576,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,24.6,31.7
M145577,BC-89,Oncorhynchus,mykiss,NA,2.4,Juvenile,8/30/24,M145577,California,Monterey,Big Creek,NA,Big Creek,Big Sur,4,25,25.2,30.7
M145578,BC-90,Oncorhynchus,mykiss,112,15.1,Juvenile,8/30/24,M145578,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25.2,31.2
M145579,BC-91,Oncorhynchus,mykiss,102,10.4,Juvenile,8/30/24,M145579,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25.2,31.2
M145580,BC-92,Oncorhynchus,mykiss,106,12,Juvenile,8/30/24,M145580,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25.2,31.3
M145581,BC-93,Oncorhynchus,mykiss,104,12.1,Juvenile,8/30/24,M145581,California,Monterey,Big Creek,AR,Big Creek,Big Sur,4,25,25.2,31.4
M145582,BC-94,Oncorhynchus,mykiss,114,15.2,Juvenile,8/30/24,M145582,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25.2,31.5
M145583,BC-95,Oncorhynchus,mykiss,93,8.9,Juvenile,8/30/24,M145583,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25.2,31.5
M145584,BC-96,Oncorhynchus,mykiss,109,12.9,Juvenile,8/30/24,M145584,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25.2,31.6
M145585,BC-97,Oncorhynchus,mykiss,100,10.4,Juvenile,8/30/24,M145585,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25.2,31.7
M145586,BC-98,Oncorhynchus,mykiss,110,14.6,Juvenile,8/30/24,M145586,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25,31.5
M145587,BC-99,Oncorhynchus,mykiss,106,11.7,Juvenile,8/30/24,M145587,California,Monterey,Big Creek,AR,Big Creek,Big Sur,4,25,25,31.5
M145588,BC-100,Oncorhynchus,mykiss,90,8,Juvenile,8/30/24,M145588,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25,31.6
M145589,BC-101,Oncorhynchus,mykiss,85,7.4,Juvenile,8/30/24,M145589,California,Monterey,Big Creek,AA,Big Creek,Big Sur,4,25,25,31.7
