"","D2_indiv","D1_indiv","logl_ratio","num_loc"
"202","M145489","M145691",-12.8972693126866,93
"203","M145489","M145692",-10.1335654643686,91
"204","M145489","M145693",-18.1292199138943,93
"205","M145489","M145694",-22.7566814450538,92
"206","M145489","M145695",-24.0724408152335,93
"207","M145489","M145696",-17.0485715150433,93
"208","M145489","M145697",-17.0422782368814,91
"209","M145489","M145698",-22.9406700019787,91
"210","M145489","M145699",-22.654243263048,92
"211","M145489","M145700",-34.0527213172418,92
"212","M145489","M145701",-7.26313316964391,93
"213","M145489","M145702",-20.0392903697015,90
"214","M145489","M145703",-12.7664852513011,93
"215","M145489","M145704",-20.5755836228263,93
"216","M145489","M145705",-24.2562073778064,93
"217","M145489","M145706",-18.7807871347358,93
"218","M145489","M145707",-26.3109436335684,93
"219","M145489","M145708",-23.3835691287406,90
"220","M145489","M145709",-14.7021008552347,92
"221","M145489","M145710",-17.3862132549381,91
"222","M145489","M145711",-21.5032781779441,92
"223","M145489","M145712",-20.3314267131096,93
"224","M145489","M145713",-16.4069234577874,92
"225","M145489","M145714",-22.5352245456577,92
"226","M145489","M145715",-20.809010164053,92
"227","M145489","M145716",-22.1136873092802,92
"228","M145489","M145717",-10.624703792879,93
"229","M145489","M145718",-26.4891593395079,92
"230","M145489","M145719",-23.5739229200788,92
"231","M145489","M145720",-17.7077716858182,93
"232","M145489","M145721",-24.218192878456,93
"233","M145489","M145722",-20.9293415837501,93
"234","M145489","M145723",-19.1397403065313,93
"235","M145489","M145724",-18.1245243604257,92
"236","M145489","M145725",-18.3730880927597,91
"237","M145489","M145726",-31.9938295381616,90
"238","M145489","M145727",-21.9410744577177,91
"239","M145489","M145728",-24.0352630765024,92
"240","M145489","M145729",-15.1604577475729,81
"241","M145489","M145730",-20.9142769994271,93
"242","M145489","M145731",-13.0302841598852,93
"243","M145489","M145732",-15.5051695695326,93
"244","M145489","M145733",-30.1304729245531,93
"245","M145489","M145734",-21.6659109473429,91
"246","M145489","M145735",-14.0142786137705,92
"247","M145489","M145736",-24.0950319540066,91
"248","M145489","M145737",-18.0518485270275,90
"249","M145489","M145738",-21.5336659079835,93
"250","M145489","M145739",-26.0162508765644,92
"251","M145489","M145740",-22.0364913125819,93
"252","M145489","M145741",-14.3584913622528,93
"253","M145489","M145742",-18.3119771908392,92
"254","M145489","M145743",-19.0115510416851,93
"255","M145489","M145744",-17.6287455163174,92
"256","M145489","M145745",-22.8761532673013,90
"257","M145489","M145746",-9.66851420853485,93
"258","M145489","M145747",-20.6528407035927,93
"259","M145489","M145748",-24.1992215274339,91
"260","M145489","M145749",-22.0428033428014,91
"261","M145489","M145750",-21.6651610967164,93
"262","M145489","M145751",-25.2989084078295,91
"263","M145489","M145752",-25.3583455904489,93
"264","M145489","M145753",-24.5055023190726,93
"265","M145489","M145754",-15.7300162245075,93
"266","M145489","M145755",-23.0931112071444,91
"267","M145489","M145756",-21.5233839342814,91
"268","M145489","M145757",-22.0538329638616,93
"269","M145489","M145758",-27.9699474651031,92
