"","LocationYear","Date","Treatment","Treatment.Temp","Fish.Sample","Start.Temp_C","LOE.Temp_C","Length_mm","Mass_g","Fultons","Lethal.Take","Location","mean_mean","mean_min","mean_max","mean_sd","hist_julymean"
"66","Big Sur 2024",2024-08-29,"2",20,"BC-66",20.4,31.2,115,17.2,"1.1309279","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"67","Big Sur 2024",2024-08-29,"2",20,"BC-67",20.4,30.4,159,38.6,"0.9602757","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"68","Big Sur 2024",2024-08-29,"2",20,"BC-68",20.4,30.7,155,32.8,"0.8808029","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"69","Big Sur 2024",2024-08-29,"2",20,"BC-69",20.4,30.7,124,20.1,"1.0542194","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"70","Big Sur 2024",2024-08-29,"2",20,"BC-70",20.4,30.7,150,33.3,"0.9866667","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"71","Big Sur 2024",2024-08-29,"2",20,"BC-71",20.4,31.2,93,10.3,"1.2805259","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"72","Big Sur 2024",2024-08-29,"2",20,"BC-72",20.4,31.3,114,15.4,"1.0394561","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"73","Big Sur 2024",2024-08-29,"2",20,"BC-73",20.4,31.3,91,9.3,"1.2341239","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"74","Big Sur 2024",2024-08-29,"2",20,"BC-74",20.2,30.3,89,7.9,"1.1206167","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"75","Big Sur 2024",2024-08-29,"2",20,"BC-75",20.2,30.4,96,9.1,"1.0285554","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"76","Big Sur 2024",2024-08-29,"2",20,"BC-76",20.2,31,90,7.8,"1.0699588","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"77","Big Sur 2024",2024-08-29,"2",20,"BC-77",20.2,31.3,127,20.1,"0.9812618","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"78","Big Sur 2024",2024-08-29,"2",20,"BC-78",20.2,31.4,108,13.6,"1.0796118","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"79","Big Sur 2024",2024-08-29,"2",20,"BC-79",20.2,31.4,83,7.7,"1.3466553","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"80","Big Sur 2024",2024-08-30,"4",25,"BC-80",24.6,30.8,159,38.7,"0.9627634","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"81","Big Sur 2024",2024-08-30,"4",25,"BC-81",24.6,31.2,184,66.6,"1.069106","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"82","Big Sur 2024",2024-08-30,"4",25,"BC-82",24.6,31.2,112,14.9,"1.0605526","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"83","Big Sur 2024",2024-08-30,"4",25,"BC-83",24.6,31.2,102,11.6,"1.0930939","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
"84","Big Sur 2024",2024-08-30,"4",25,"BC-84",24.6,31.5,121,18.3,"1.0329873","N","Big Sur",15.98233918125,14.9575,17.92875,0.8246079585,15.752
