"","LocationYear","Location","Date_Time","Date","Time","Temp_C","Year","n_day"
"125","Big Sur 2024","Big Sur",2024-08-19 22:20:00,2024-08-19,22:20:00,15.91,"2024",2043
"126","Big Sur 2024","Big Sur",2024-08-19 22:25:00,2024-08-19,22:25:00,15.87,"2024",2043
"127","Big Sur 2024","Big Sur",2024-08-19 22:30:00,2024-08-19,22:30:00,15.91,"2024",2043
"128","Big Sur 2024","Big Sur",2024-08-19 22:35:00,2024-08-19,22:35:00,15.87,"2024",2043
"129","Big Sur 2024","Big Sur",2024-08-19 22:40:00,2024-08-19,22:40:00,15.87,"2024",2043
"130","Big Sur 2024","Big Sur",2024-08-19 22:45:00,2024-08-19,22:45:00,15.87,"2024",2043
"131","Big Sur 2024","Big Sur",2024-08-19 22:50:00,2024-08-19,22:50:00,15.91,"2024",2043
"132","Big Sur 2024","Big Sur",2024-08-19 22:55:00,2024-08-19,22:55:00,15.83,"2024",2043
"133","Big Sur 2024","Big Sur",2024-08-19 23:00:00,2024-08-19,23:00:00,15.87,"2024",2043
"134","Big Sur 2024","Big Sur",2024-08-19 23:05:00,2024-08-19,23:05:00,15.78,"2024",2043
"135","Big Sur 2024","Big Sur",2024-08-19 23:10:00,2024-08-19,23:10:00,15.87,"2024",2043
"136","Big Sur 2024","Big Sur",2024-08-19 23:15:00,2024-08-19,23:15:00,15.83,"2024",2043
"137","Big Sur 2024","Big Sur",2024-08-19 23:20:00,2024-08-19,23:20:00,15.78,"2024",2043
"138","Big Sur 2024","Big Sur",2024-08-19 23:25:00,2024-08-19,23:25:00,15.78,"2024",2043
"139","Big Sur 2024","Big Sur",2024-08-19 23:30:00,2024-08-19,23:30:00,15.78,"2024",2043
"140","Big Sur 2024","Big Sur",2024-08-19 23:35:00,2024-08-19,23:35:00,15.78,"2024",2043
"141","Big Sur 2024","Big Sur",2024-08-19 23:40:00,2024-08-19,23:40:00,15.74,"2024",2043
"142","Big Sur 2024","Big Sur",2024-08-19 23:45:00,2024-08-19,23:45:00,15.74,"2024",2043
"143","Big Sur 2024","Big Sur",2024-08-19 23:50:00,2024-08-19,23:50:00,15.74,"2024",2043
"144","Big Sur 2024","Big Sur",2024-08-19 23:55:00,2024-08-19,23:55:00,15.74,"2024",2043
"145","Big Sur 2024","Big Sur",2024-08-20,2024-08-20,00:00:00,15.74,"2024",2043
"146","Big Sur 2024","Big Sur",2024-08-20 00:05:00,2024-08-20,00:05:00,15.7,"2024",2043
"147","Big Sur 2024","Big Sur",2024-08-20 00:10:00,2024-08-20,00:10:00,15.7,"2024",2043
